full_text,text_clean
Bisa bisanya orang mabok naik Jaklingko,bisa orang mabok naik jakarta lingko
yoongi pernah liat jaklingko,yoongi lihat jakarta lingko
salfok ada jaklingko masuk vlog,salfok jakarta lingko masuk vlog
Ngakak jaklingko debut di vlog yoongi,tertawa jakarta lingko debut vlog yoongi
Transjakarta Oalah berarti ni bus full melayani nbrt yah ga beririsan dgn halte brt 11 12 ama metro trans kah kl begitu Ngikut skema integrasi versi ok otrip bukan jaklingko,transjakarta oalah arti full layan nbrt iris halte sama metro trans kalo ikut skema integrasi versi otrip jakarta lingko
piyo Hai Kak Pembayaran pada halte halte Transjakarta selain dengan menggunakan kartu flazz emoney brizzi tapcash jakcard kartu berlogo Jak Lingko bisa juga menggunakan Tiket QR aplikasi Tije dan aplikasi JakLingko Terima kasih RJ,piyo bayar halte halte transjakarta guna kartu flazz emoney brizzi tapcash jakcard kartu logo lingko guna tiket aplikasi tije aplikasi jakarta lingko terima kasih
jeruk set karubi harami 50 ons diskon 50 dengan jaklingko,jeruk karubi haram diskon jakarta lingko
Kalo tidak mau kerja jadi supir jaklingko tolong ganti orang seperti itu min itu tidak melayani pelanggan dengan senang hati transjakarta,kerja jadi supir jakarta lingko ganti orang layan langgan senang hati transjakarta
parah banget sopir2 jaklingko kemarin tg 28 juni jam 12 12p depan rs hermina sunter arah halte danau agung sopir ngebut terus gak mau berhenti ambil penumpang waduuuh jak lingko dg sopir2 gini terus ancur,parah banget sopir jakarta lingko kemarin juni hermina sunter arah halte danau agung sopir ngebut terus henti ambil tumpang waduuuh lingko sopir gin terus hancur
wuming lu tinggal di mana gw lahir amp besar di jakarta sampai bisa beli cluster di jaksel happy saja tuh malah transportasi Jaklingko gratis sampai depan kompek PBB rumah nyokap pensiunan guru skr di era Anies gratis,wuming kamu tinggal lahir besar jakarta beli cluster jaksel bahagia transportasi jakarta lingko gratis kompek rumah pensiun guru sekarang anies gratis
keren bgt kalo tap di jaklingko seangkot liat kartu gw mba irene,keren banget jakarta lingko seangkot lihat kartu mbak irene
mohamat Ribuan mobil parkir terdekat cuma di JIEXPO Kemayoran LRT ga ada MRT ga ada stasiun kereta terdekat ancol 2 5km jalan kaki ke jis 30 menit Adanya cuma TJ amp Jaklingko 10K Jak77 Jak118 U10 Jis3 amp Jak120,mohamat ribu mobil parkir dekat jiexpo mayor mass rapid transit stasiun kereta dekat ancol kilometer jalan kaki menit trans jakarta jakarta lingko ribu kamu
kos cewe jaksel cilandak kko transum ada tj D21 angkot 61 jaklingko 46 makanan banyak udh incl air listrik kamar mandi sharing ya tp more info dm ajaa bantu2 ibu kos krna kamar ada yg kosong hehe,cewek jaksel cilandak transum trans jakarta angkot jakarta lingko makan udah incl listrik kamar mandi sharing more informasi bantu kamar kosong
Transjakarta Baik semoga dilancarkan dan dimudahkan insyaAllah bisa meningkatkan konektivitas penumpang JakLingko ke shelter TransJakarta mengingat daerah marka tsb sudah ada huniaan yg cukup ramai dan beberapa tempat keramaian terima kasih,transjakarta baik moga lancar mudah insyaallah tingkat konektivitas tumpang jakarta lingko shelter transjakarta ingat daerah marka huniaan cukup ramai tempat ramai terima kasih
gw taunya jaklingko sama tapcash doang flazz dlu gw gabisa,tau jakarta lingko tapcash doang flazz dulu bisa
TJ emang bisa Di MRT Dukuh Atas ada mesin Jaklingko dan MRT Krn itu yg kuceritakan ya MRT,trans jakarta memang mass rapid transit dukuh atas mesin jakarta lingko mass rapid transit yang cerita mass rapid transit
ooh berarti yang vending machine itu bisa buat semua kartu y gak jackcard nya jaklingko sama emoney aja,arti vending machine kartu jackcard jakarta lingko emoney
min Transjakarta klo mau naik 7D tapi dari rambutan bisa naik jaklingko ga trs start 7D skrg dari mana ya,transjakarta kalau naik rambutan naik jakarta lingko terus start sekarang
menfess ini klo di Jakarta bisa di pake buat naik jaklingko ga sii serius nnya klo bisa mau beli soalnya klo ke kampus naik jaklingko,menfe kalau jakarta pakai naik jakarta lingko serius tanya kalau beli soal kalau kampus naik jakarta lingko
Transjakarta Sorry mas jadinya nemu gak Jaklingko Flazz nya mas Aku nyari gak dapet dapet,transjakarta maaf jadi nemu jakarta lingko flazz cari dapat
Transjakarta Mbak beli Jaklingko Flazz kapan ya Aku nyari belakangan ini gak pernah ada lagi,transjakarta mbak beli jakarta lingko flazz cari belakang
Transjakarta Min dimana bisa beli Kartu Jaklingko Flazz,transjakarta beli kartu jakarta lingko flazz
Kebayang yg bawa stroller mo naik angkot jaklingko,bayang bawa stroller naik angkot jakarta lingko
Entah wkt itu apes ato gmn naik angkot di jakarta kek reyot2 bgt bukan jaklingko angkot bandung gajelas cm rame di rute2 tertentu angkot surabaya aplg udh gajelas gaib sekalinya ada lemot bgt resek bikin misuh pengendara lain,waktu sial gimana naik angkot jakarta kayak reyot banget jakarta lingko angkot bandung gajelas cuma ramai rute angkot surabaya udah gajelas gaib sekali lambat banget resek buat misuh kendara
Kereta cepat bukan transportasi umum si ini murni bisnis kek Garuda Indonesia jangan samain dg KAI dan TJ yg memang tujuannya bukan murni bisnis yg hebatnya pak Jonan bisa jadi untung dan hebatnya TJ bisa di ekskalasi dg jaklingko,kereta cepat transportasi umum murni bisnis kayak garuda indonesia samain trans jakarta tuju murni bisnis hebat jonan jadi untung hebat trans jakarta ekskalasi jakarta lingko
Transjakarta Izin nanya min kartu jaklingko bisa dibeli dimana saja ya dan apa bisa sekalian dipakai untuk mikrotrans angkot,transjakarta izin tanya kartu jakarta lingko beli pakai mikrotrans angkot
Angkot jaklingko bisa pake emoney ga si,angkot jakarta lingko pakai emoney
dilumat Halim harus jalan kedepan gerbang trus naik angkot jaklingko hahaha sama kaya bandara di bdg,lumat halim jalan depan gerbang terus naik angkot jakarta lingko hahaha kaya bandara bandung
Transjakarta Berlaku buat jaklingko jg gak nih jam operasional hari ini min,transjakarta laku jakarta lingko operasional hari
Transjakarta jaklingko 12 tujuan tanah abang pasar kebayoran beroperasi jam berapa kak hari ini,transjakarta jakarta lingko tuju tanah abang pasar kebayoran operasi hari
lagian jaklingko sm tj ga lewat lewat sialan,jakarta lingko sama trans jakarta lewat lewat sial
itu emoney bilang aja lu mau naik jaklingko tp emoney lu ilang mah beliin mah,emoney bilang kamu naik jakarta lingko emoney kamu hilang belikan
Transjakarta halo min mau tanya jaklingko untuk hari ini jam berapa beroperasi,transjakarta halo tanya jakarta lingko hari operasi
Transjakarta jaklingko beroperasi ga min hari ini,transjakarta jakarta lingko operasi hari
bandung tuh butuh bus krl dan angkot semacem jaklingko dijamin dah tuh sektor pariwisatanya makin maju,bandung butuh angkot macam jakarta lingko jamin sektor pariwisata maju
Itu tindakan yg bgs tetapi ad yg blm di bangun halte RSCiputra citra5 kalideres sampe sekarang klo mau nungguin mobil jaklingko susa kadangkehujanan,tindak bagus belum bangun halte rsciputra citra kalideres kalau tunggu mobil jakarta lingko susah kadangkehujanan
ada jaklingko,jakarta lingko
pernah bincang dg org bappeda menyodorkan ide tentang skema Transjakarta atau minimal microtrans JakLingko diterapkan di Kab Pasuruan Harus ada kajiannya terlebih dahulu Karakter daerahnya berbeda Anggarannya berbeda Yaa gak ada yg salah memang dengan pernyataannya tp,bincang orang bappeda sodor skema transjakarta minimal microtrans jakarta lingko terap kabupaten pasuruan kaji karakter daerah beda anggar beda salah nyata
buat gw naik jaklingko aja sini,naik jakarta lingko
masa ya tadi pagi gue lagi nunggu jaklingko terus ada kambing lewat dibawa pake motor terus kambingnya mbek mbek an terus gue yang SEDIH BANGET,masa pagi nunggu jakarta lingko terus kambing lewat bawa pakai motor terus kambing mbek mbek terus sedih banget
Beli ga yh buat apa jg gua Masi sekola paling buat jaklingko itu pun males empet an,beli juga kola jakarta lingko malas empet
Hahaha bolak balik gratis mah cuma naik Jaklingko,hahaha bolak balik gratis naik jakarta lingko
Untuk jaklingko 106 42 dan 74 kalau bisa ada pemberhentian di halte busway cipinang karena halte cipinang lontar setelah magrib gelap gak ada lampu di halte dan seram krn posisi belakang halte sebelum ada fly over banyak yg tertabrak kereta di situ Mohon perhatiannya ya min Tx,jakarta lingko henti halte busway cipinang halte cipinang lontar magrib gelap lampu halte seram posisi belakang halte over tabrak kereta situ mohon perhati terima kasih
gw suruh lu buka hp gw ada histori foto lu malah ngarul kidul bilng gw sering bgitu di tj jaklingko gw bru ketemu lu aja bru sekali terus lu dgn beraniny nampar gw emng stres anjing mending kasih tarif deh biar orang yg gatau aturan kaya dia gausa naik seenaknya,suruh kamu buka handphone histori foto kamu ngarul kidul bilng bgitu trans jakarta jakarta lingko baru ketemu kamu baru terus kamu beraniny tampar memang stres anjing lebih baik kasih tarif orang gatau atur kaya gausa naik enak
untuk ibu2 stress gila tadi pagi naik jaklingko 47 yang nuduh gua foto dia padahal buka kamera juga ngga dan nampar gua seenaknya lu bikin gua trauma naik jaklingko ya dari terminal pasming harusnya gua ga telat kerja gua harus telat karena lu yg nuduh gua foto lu,stre gila pagi naik jakarta lingko nuduh foto buka kamera tampar enak kamu buat trauma naik jakarta lingko terminal pasming lambat kerja lambat kamu nuduh foto kamu
Or supir jaklingko penjual tissue kang ojek supir 121 pak ogah depan plasa cibubur,supir jakarta lingko jual kang ojek supir mau plasa cibubur
dan JANGAN PERNAH LUPA USAHA ORANG2 JAKARTA KEPENGEN PUNYA TRANSPORTASI PUBLIK SENDIRI makanya dulu perusahaan2 transportasi swasta menjamur yg paling terkenal yaa angkot microbus suzuki carry dan kijang noh klo skrg banyak yg udh gabung ke jaklingko swasta tapi negeri,lupa usaha orang jakarta punya transportasi publik usaha transportasi swasta jamur kenal angkot microbus suzuki carry kijang kalau sekarang udah gabung jakarta lingko swasta negeri
Transjakarta min info dong kalo dri stasiun cakung ke aeon jgc ada rute jaklingko ga,transjakarta informasi dari stasiun cakung aeon rute jakarta lingko
Transjakarta min berarti kalo subuh mau berangkat sholat ied adha ke masjid Istiqlal ga bisa pake transportasi umum kayak Transjakarta sama Jaklingko dong Bisa atau ga ya Mohon konfirmasinya min,transjakarta arti subuh berangkat sholat adha masjid istiqlal pakai transportasi umum transjakarta jakarta lingko mohon konfirmasi
Abis berantem sm orang di jalanan gara2 dia parkir pas bgt didepan plang bus stop sampe gue di skip 3 jaklingko manusia bgst semoga ban mobil kempes mobil lu kena senggol ampe bodynya penyok anjing,habis antem sama orang jalan gara parkir banget depan plang henti skip jakarta lingko manusia bangsat moga mobil kempes mobil kamu kena senggol bodynya penyok anjing
Transjakarta Halo hari ini Jaklingko beroperasi sampai jam berapa ya,transjakarta halo hari jakarta lingko operasi
Buktinya mana Integrasi saja tak mampu memiliki ide kok main klaim JAKLINGKO JAKLINGKO artinya apa cek data fakta Kasihan penggemarmu hok hok Edan rakaruan,bukti integrasi milik main klaim jakarta lingko jakarta lingko arti data fakta kasihan gemar edan rakaruan
Padahal gak harus sekelas busway perapihan angkot aja bisa cukup membantu contoh Jaklingko Tapi ya balik lagi ke political will tiap kepala daerah yang masih minim,kelas busway perapihan angkot cukup bantu contoh jakarta lingko balik political will kepala daerah minim
biasanya di alfa sama mesin to up yg di busway jaklingko kak,alfa mesin tryout busway jakarta lingko
sebenernya gw pengguna jaklingko sejati sampe mati tapi boleh lah beli tepkes,benar guna jakarta lingko sejati mati beli tepkes
iya kak bisa jaklingko,jakarta lingko
aku top up biasanya di alfa mesin top up yg di busway jaklingko,alfa mesin busway jakarta lingko
udh kak sering iya bener jaklingko angkot,udah benar jakarta lingko angkot
Ini proyek kai masih jalan gais biar jis terintegrasi busway udah 4 rute juga jaklingko 2 apa 3 gitu aman pokoknya sabar ya semua butuh waktu pembangunan begini tuh ga bisa cepeet,proyek jalan gais integrasi busway rute jakarta lingko gitu aman pokok sabar butuh waktu bangun cepeet
Jaklingko yang kyk angkot gitu kan,jakarta lingko kayak angkot gitu
Jaklingko emang bisa kok kak,jakarta lingko memang
Kayanya gw ga sanggup deh magang nya lokasi kantornya gila jauh bgt 2 5jam an anjir Itu total 5x transit dri mulai naik tj ke manggarai ke duri ke rawabuaya naik jaklingko lg trs pemberentian terakhir masi hrs jalan 1 3km mau gamau naik gojek,kayak sanggup magang lokasi kantor gila jauh banget total transit mulai naik trans jakarta manggarai duri rawabuaya naik jakarta lingko terus renti akhir harus jalan kilometer mau naik gojek
Kak mjb kamu udh pernah pake buat jaklingko kah,udah pakai jakarta lingko
mjb kak untuk naik jaklingko tetep free atau saldonya kepotong ya,naik jakarta lingko tetap bebas saldo potong
bisa buat apapun bayar tol bayar parkir naik busway mrt krl jaklingko lrt apapun itu yg noncash nanti isinya dihalte busway bisa diminimarket jg bisa setauku,apa bayar bayar parkir naik busway mass rapid transit jakarta lingko apa noncash isi halte busway minimarket tau
Stadion tinggal di maintenance terus lalu Pemda dg political willnya bangun transportasi umum dan lanjutkan integrasi transportasi dg Jaklingko nya,stadion tinggal maintenance terus perintah daerah political willnya bangun transportasi umum lanjut integrasi transportasi jakarta lingko
ini buat yg nnya tapcash buat apa sih mnrtku ini berguna karna aku jg suka keluar pake transportasi umum bisa di liat di logo ada e toll bayar makan di resto tertentu belanja di tempat tertentu bayar tempat wahana jaklingko busway krl mrt parkir bensin,tanya tapcash mnrtku guna juga suka keluar pakai transportasi umum lihat logo toll bayar makan resto belanja tempat bayar tempat wahana jakarta lingko busway mass rapid transit parkir bensin
hari ini first time balik kerja langsung ke kos yang baru mulai membiasakan diri 2 kali naik jaklingko banyak2in sabar nunggu,hari first time balik kerja langsung baru mulai biasa kali naik jakarta lingko sabar nunggu
bisa buat e toll bayar belanja di tempat tertentu krl mrt jaklingko busway,toll bayar belanja tempat mass rapid transit jakarta lingko busway
mjb bisa buat naik krl mrt jaklingko busway belanja di tempat tertentu e toll juga,naik mass rapid transit jakarta lingko busway belanja tempat toll
ayy mjb di alfa ada yg 20 bisa atau 50 admin 1 500 kalo di mesin jaklingko busway bisa 10 admin terpotong di saldo 1 500,alfa admin mesin jakarta lingko busway admin potong saldo
ak baru aja beli brizzi sama jaklingko ap g mw koleb jg gtuh,baru beli brizzi jakarta lingko koleb gtuh
Dari bandara keluar parkiran dikit udah ketemu jaklingko di depan gereja oikumene cek gmaps Dianterin sampe halte busway cawang uki,bandara keluar parkir dikit ketemu jakarta lingko gereja oikumene gmaps dianterin halte busway cawang
Hai Kak Pada Hari Raya Idul Adha Mikrotrans Jaklingko beroperasi pukul 09 00 WIB Terima kasih DN,hari raya idul adha mikrotrans jakarta lingko operasi pukul terima kasih
Edukasi dimulai dengan pembekalan materi seputar LRT Jakarta amp sistem integrasi JakLingko Indonesia Setelah itu site visit Depo untuk melihat secara langsung perawatan Light Rail Vehicle LRV hingga mencoba layanan NaikLRTJ dari Stasiun Pegangsaan Dua hingga Velodrome,edukasi mulai bekal materi putar jakarta sistem integrasi jakarta lingko indonesia site visit depo lihat langsung awat terang rail vehicle coba layan naiklrtj stasiun gangsa velodrome
Idul Adha Layanan Transjakarta baru beroperasi jam 09 00 Transjakarta kalo untuk mikrotrans seperti jaklingko baru beroperasi pukul berapa min,idul adha layan transjakarta baru operasi transjakarta untuk mikrotrans jakarta lingko baru operasi pukul
Idul Adha Layanan Transjakarta baru beroperasi jam 09 00 kalo untuk mikrotrans seperti jaklingko baru beroperasi pukul berapa min,idul adha layan transjakarta baru operasi untuk mikrotrans jakarta lingko baru operasi pukul
Transjakarta Yey ditunggu launching rute baru Mikrotrans Jaklingko setelah Idul Adha nanti min,transjakarta tunggu launching rute baru mikrotrans jakarta lingko idul adha
Jaklingko nya sampai dalem kah Kalau harus jalan keluar mah sama aja Mau moda apa juga bisa Naik angkutan dari luar bandara bukan angkutan bandara,jakarta lingko dalem jalan keluar moda naik angkut luar bandara angkut bandara
jkt menarik di mrtj jg hrs pilih from to stasiun kok itumah udah biasa kalo di jaklingko bs ewallet yg biasa hrsnya mrk promosi gila2an ya nanti gw cb deh,jakarta tarik mrtj harus pilih tryout stasiun itumah jika jakarta lingko dompet digital hrsnya promosi gila coba
jkt Bisa pake app jaklingko bayar pake QR yg mana paymentnya bisa pake e wallet kek gopay atau ovo Meski agak ribet sih via apps dan harus pilih stasiun tapi buat yg gmau beli kartu mau gamau bisa pake cara itu,jakarta pakai aplikasi jakarta lingko bayar pakai paymentnya pakai wallet kayak gopay ribet apps pilih stasiun mau beli kartu tidak mau pakai cara
kalo semisal dari rumah kamu ke sekolah ada angkutan umum kamu bisa naik itu atau bisa juga naik jaklingko kalo kamu tinggal di Jakarta bisa juga kamu bawa bekal sih nder,misal rumah sekolah angkut umum naik naik jakarta lingko tinggal jakarta bawa bekal brother
Hallo SobatMITJ sekarang Anda dapat terhubung dengan semua transportasi umum hanya dengan satu aplikasi lho Saatnya lengkapi semua kebutuhan transportasi umum Anda menggunakan aplikasi,hallo sobatmitj hubung transportasi umum satu aplikasi lengkap butuh transportasi umum guna aplikasi
Ada jaklingko kok buat sambung ke busway,jakarta lingko sambung busway
Pembayaran melalui uang elektronik bank seperti e money Brizzi Flazz TapCash JakCard serta metode kartu MRT dan JakLingko masih bisa digunakan kok Jangan lupa share juga ke orang terdekatmu biar banyak yang tau yaa Source,bayar uang elektronik bank money brizzi flazz tapcash jakcard metode kartu mass rapid transit jakarta lingko guna lupa share orang dekat tahu source
Official Klo sesama TJ ga tp klo abis naik TJ naik MRT tarifnya lbh murah pake jaklingko dibanding kartu biasa,official kalau trans jakarta tapi kalau habis naik trans jakarta naik mass rapid transit tarif lebih murah pakai jakarta lingko banding kartu
gunawan Official Kalo pake kartu Jaklingko masih gitu sih sistemnya,gunawan official pakai kartu jakarta lingko gitu sistem
Transjakarta Hai Kak Bisa ya Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline 1,transjakarta naik mass rapid transit jakarta kakak guna kartu uang elektronik bank jakarta lingko money bank mandiri brizzi bank tapcash bank flazz bank jakcard bank commuterline
Mending pake jaklingko lah Ke monas cuman 6750 wkwkwkwkwkw,lebih baik pakai jakarta lingko monas wkwkwkwkwkw
Yah seenggaknya di jaklingko bisa ya ka,enggak jakarta lingko kakak
Hai kak silakan Menuju Halte Juanda naik Rute 2ST turun di M H Thamrin dan transit Rute 9D turun di Tanah Abang Jaklingko kemudian naik JAK 08 turun di Bus Stop KPP Pratama Tanah Abang Terima kasih MB,sila tuju halte juanda naik rute turun thamrin transit rute turun tanah abang jakarta lingko naik turun henti pratama tanah abang terima kasih
Nha ini apakah sudah ada aturan jelas bahwa transportasi umum itu tidak boleh eksklusif termasuk didalamny dgn mengakomodir seluruh mode pembayaran normatif Jujur ini buat pusing loh Cash E Money bank E Wallet Mrt card jaklingko QRis eh ast pay,atur jelas transportasi umum eksklusif masuk didalamny mengakomodir mode bayar normatif jujur pusing cash money bank wallet mass rapid transit card jakarta lingko qris
antara mempertahankan kartu flazz gen 2 ini atau digadaikan dengan kartu jaklingko hmm,tahan kartu flazz gadai kartu jakarta lingko
hm considering to use jaklingko krn penasaran sm tarif terintegrasinya would be very cool kl modelannya persis kek ov chipkaart,considering tryout jakarta lingko penasaran sama tarif integrasi would very cool kalo model persis kayak chipkaart
moodku tergantung supir jaklingko tapi dia gapernah baik jd aku badmood teroos,moodku gantung supir jakarta lingko pernah baik jadi badmood teroos
jkt Transjakarta iya tapi waktu itu casenya knp aku harus download tije karena rute yg aku pengenin ga ketemu di aplikasi JakLingko padahal rutenya cukup populer lah GOR Sumantri ke Benhil jadi petugas di halte saranin buat coba pake app tije,jakarta transjakarta waktu casenya download tije rute pengenin ketemu aplikasi jakarta lingko rute cukup populer sumantri benhil jadi tugas halte saranin coba pakai aplikasi tije
dulu SMP dikasih 20k terus w bawa bekel jadi masih utuh Pulang naik jaklingko gratis even kalo mau jajan paling ngeluarin duit buat beli minum 2 rebuu INTINYA max goceng Cuma kalo emg mau jajan lebih ya jajan aja jgn sering2 AKHIRNYA SMP AK KAYA BYK DUIT drpd skrgg,kasih ribu terus bawa bekel jadi utuh pulang naik jakarta lingko gratis even jajan ngeluarin duit beli minum rebuu inti goceng memang jajan jajan jangan kaya banyak duit skrgg
Transjakarta hallo min mau tanya apa bisa sewa jaklingko lepas kunci,transjakarta hallo tanya sewa jakarta lingko lepas kunci
Bisa Gua kalo lg mrt dan pgn pake qr selalu dari app jaklingko,lagi mass rapid transit ken pakai aplikasi jakarta lingko
ohbisa ya qr lewat app jaklingko,ohbisa lewat aplikasi jakarta lingko
Transjakarta plis perpanjang jaklingko tj sampe cirendeu gue stress banyak euy pulanh ngikutin rush hour terus,transjakarta plis panjang jakarta lingko trans jakarta cirendeu stre pulanh ngikutin rush hour terus
di app jaklingko bisa liat koridor dan rute kyk app tije juga ga dim,aplikasi jakarta lingko lihat koridor rute kayak aplikasi tije
Download jaklingko aja walaupun milih stasiunnya agak ribet tapi bisa bayar pake QRIS kok jd gopay ovo dana dll bisa semua dan udah bisa nyatu jg buat TJ MRT dan LRT,download jakarta lingko milih stasiun ribet bayar pakai qris jadi gopay dana lain nyatu trans jakarta mass rapid transit
Nah kalo begini gue baru tertarik Bahkan kalo bisa JakLingko kepake juga buat bayar taksi sekalian,baru tarik jakarta lingko kepake bayar taksi
halo admin saya hari ini isi kartu jaklingko tapcash menggunakan aplikasi shopee dan sewaktu saya mau update di vending machine malah muncul tulisan sepertii ini padahal saldo seabank saya sudah berkurang mohon dibantu Transjakarta,halo admin hari kartu jakarta lingko tapcash guna aplikasi shopee update vending machine muncul tulis seperti saldo seabank kurang mohon bantu transjakarta
Hai Kak Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline Terima kasih,naik mass rapid transit jakarta kakak guna kartu uang elektronik bank jakarta lingko money bank mandiri brizzi bank tapcash bank flazz bank jakcard bank commuterline terima kasih
jkt Transjakarta Bukannya kalo tj itu pake appnya jaklingko ya Setau saya pake ewallet apa aja bisa itu yg bisa qris dari app jaklingko,jakarta transjakarta trans jakarta pakai appnya jakarta lingko tau pakai dompet digital yang qris aplikasi jakarta lingko
Transjakarta Nunggu jaklingko udah di halte 40 mnt ga dateng2 sekalinya lewat ga mau berenti padahal kosong Tau gitu jalan kaki aja dr awal 20 menitan nyampe Sampe gw mikir apa ini ya slh satu alasan org lebih milih beli kendaraan pribadi drpd pake transportasi umum Makin macet polusi,transjakarta nunggu jakarta lingko halte menit dateng sekali lewat renti kosong tahu gitu jalan kaki dari awal menit nyampe pikir salah satu alas orang milih beli kendara pribadi pakai transportasi umum macet polusi
Ga pas nunggu angkot jaklingko ga nunggu busway ga pas naik buswaynya jam segini jam jam Penuh puadet merayap Nyampe rumah malem ini sih,nunggu angkot jakarta lingko nunggu busway naik buswaynya gin penuh sangat padat rayap nyampe rumah malam
Di masa dia TJ boleh ancur tapi kalo sampe Jaklingko diacak sama doi gue katain sampe mampus,masa trans jakarta hancur jakarta lingko acak katain sampai mampus
Kalau tau bakalan hujan kek gini gua mending naik jaklingko dah males banget kalau bawa motorr,tahu hujan kayak gin lebih baik naik jakarta lingko malas banget bawa motorr
tapi jaklingko registrasinya agak ribet sih tbh so gw gapake app itu,jakarta lingko registrasi ribet pakai aplikasi
Supir Jaklingko galak2 bgt kayanya masih lebih ramah supir angkot,supir jakarta lingko galak banget kayak ramah supir angkot
