,Unnamed: 0,Datetime,Tweet Id,Text,Username,Label,Language,Review
11,11,2019-09-19 23:13:18+00:00,1174823809729196032,rsm ga semuanya sih mas tp perlu kita pahami kuhp ini bentuk kodifikasi sektoral alias pembukuan delik pidana yg sudah ada dijadikan satu buku namanya kuhp jadi memang isinya gak baru,ariagaana,0,indonesia,
12,12,2019-09-19 23:12:49+00:00,1174823689738543104,DPR apa kabar pak RUU KUHP RUU KPK RUU P KS megelno kabeh pak,galsku,-1,indonesia,
13,13,2019-09-19 23:10:10+00:00,1174823024601616384,Pengada layanan sendiri tetap terancam dipidana dlm memberikan layanan aborsi PP61 ada lho sbg turunan UU kesehatan tapiiiiiii tetap jika mjd kasus hukum yg digunakan oleh polisi adalah KUHP Tenang dasaran keresahan kami bukan halu tp mmg kami alami,puspapra,-1,indonesia,
14,14,2019-09-19 23:09:42+00:00,1174822905613471744,apa yg ditakutkan kan delik yg diatur sama uu kesheatan hadir sebagai penawar kuhp yg kaku lalu ada kuhp baru selama uu kesheatan blm dicabut keberlakuannya dan ga bertentangan kenapa takut kan masih dilindungi mbhs hubungan uu kesehatn dan kuhp bisa di cek di tab reply,ariagaana,0,indonesia,
15,15,2019-09-19 23:07:47+00:00,1174822424543514624,Halo kak thx for the opinion Scr teori betul ada UU kesehatan Namun scr praktik bnyk kasus di daerah yg didampingi bhw polisi memakai KUHP utk menjerat byk perempuan yg melakukan aborsi Jd ketakutan yg kakak blg memang sdh terjadi,puspapra,-1,indonesia,
16,16,2019-09-19 23:06:32+00:00,1174822107684855808,ariefa Gabisa mi saya takut ninuninu Kan di pasal RUU KUHP julidin presiden auto ninuninu,conconlatte,-1,indonesia,
17,17,2019-09-19 23:06:17+00:00,1174822046909419521,Catnobi ada sudah dijelaskan bertahun2 lalu oleh akademisi pastinya R Soesilo lewat komentar KUHP dan yurisprudensi kasus2 Bab Penghinaan KUHP logikanya seharusnya sama untuk penghinaan yaitu menyerang kehormatan,mediocrickey,0,indonesia,
18,18,2019-09-19 23:01:31+00:00,1174820847393001472,Kayaknya yg buat kuhp bnr2 GBLK dah ini Menjabat cuma krena uang bukan karena integritas,irvan_rian,-1,indonesia,
19,19,2019-09-19 22:56:09+00:00,1174819497548500992,Pasal 1 rkuhp itu pemberlakuan asas legalitas Umum lah ya spt di kuhp lawas Blablabla seseorang dipidana karena melanggar uu Melarang penggunaan analogi dalam menerapkan kuhp juga udah umum Nah di pasal 2 ini,oliebollenx,0,indonesia,
20,20,2019-09-19 22:51:53+00:00,1174818422254817280,Ruu kuhp disahkan Biologi belajar apaan dong,justcallmetun,0,indonesia,
21,21,2019-09-19 22:51:21+00:00,1174818289395982338,Masalah KUHP aja turun kejalan gililran kebijakan pemerintah naiknya tdl naiknya harga bahan bakar dll tak pernah turun kejln,mudjiatmoko,0,indonesia,
22,22,2019-09-19 22:43:52+00:00,1174816404563877888,Yaelah puk ngurusin banget negara yaelah puk jng jd sok bener yaelah puk gada dampaknya jg buat kita tol kont l manusia kont l sebelum RUU KUHP ini di revisi aja GUE PERNAH MAU KENA CIDUK BANGSAT Dan jejak digital kriminal gue ABADI,fadilbapuk,-1,indonesia,
23,23,2019-09-19 22:37:13+00:00,1174814732663934976,wennoz pembuktian perzinahan bukanlah hal baru kan sudah ada di kuhp lama kurang lebih pembuktiannya sama yang jelas membuktikan minimal 2 alat bukti keterangan saksi lebih dari satu sudah dapat 1 alat bukti tinggal ditambah alat bukti lainnya pengadu juga berpotensi jadi saksi,ariagaana,0,indonesia,
24,24,2019-09-19 22:31:14+00:00,1174813223469453312,Di UUD orang miskin amp terlantar di lindungi oleh negara Di KUHP orang2 terlantar di denda 1jt Bener2 bedebah mereka,dpur7,-1,indonesia,
25,25,2019-09-19 22:30:15+00:00,1174812978857693184,RI Cieileh Yang mau paripurna ninggalin Borok RUU KUHP Citramu pengen bersih negara kau bikin Gaduh,Den_Bagus36,-1,indonesia,
26,26,2019-09-19 22:27:06+00:00,1174812184242618368,Ada ya pasal kayak gitu Sejak 9 th lalu sdh digaungkan ttg pentingnya anak2 paham ttg reproduksi guru pertama anak2 adalah orangtua kita diminta tdk menganggap tabu membahas ttg sex ke anak2 penahaman sesuai usia spy mereka ga cari tau dr luar amp salah info KUHP kok aneh,DewiEriyati4,-1,indonesia,
27,27,2019-09-19 22:25:10+00:00,1174811698814865408,Jaman uda maju Mending bikin polling aja macam tanya rakyat setuju ga revisi uu KPK dan KUHP dari pada ngarepin DPR ama presidennya dipilih rakyat tapi ko ya suaranya ga sama kaya rakyatnya,sadewa58,-1,indonesia,
28,28,2019-09-19 22:20:57+00:00,1174810637181972480,ini alasan revisi ruu kuhp,SusiloBaru,0,indonesia,
29,29,2019-09-19 22:15:36+00:00,1174809290021863424,1945 Lu buta yak Asli saat ruu kpk ruu kuhp ruu minerba di setujui jokowi dan tinggal disahkan dpr lu masih dukung tuh jokowi Asli otak lu sakit men sakit lu udah,hadybobs,-1,indonesia,
30,30,2019-09-19 21:59:38+00:00,1174805271899590656,Coba kamu baca revisi UU KPK UU KUHP atau liat postingan pejabat yang pamer sepatunya kotor karena habis tinjau lapangan di Riau atau banyak lagi mungkin hal lucu yang bisa kamu tertawakan soal negerimu sendiri,babybrcath,-1,indonesia,
31,31,2019-09-19 21:58:14+00:00,1174804919703883777,Tp ttp perlu gerakan jg Sanksi pidana korupsi nang KUHP lbh ringan dan sifatnya mengganti sanksi perbuatan serupa di UU Tipikor,aan_luna,0,indonesia,
32,32,2019-09-19 21:51:29+00:00,1174803220528427008,purwono AS Masih demen pakai kuhp belanda ya,irwan24tanjung,0,indonesia,
33,33,2019-09-19 20:13:49+00:00,1174778642448039937,Jir malah bahas korea Vietnam ada isu reformasi birokrasi dan itu ampundah Brunei kabarnya terancam pasokan oil and gasnya ilang plus masalah istananya yg berujung RUU KUHP Nepal walau ada everest tapi pernah w baca ekonominya stuck Mrk gatau cara cari pemasukan lain,kreatoramatir_,0,indonesia,
34,34,2019-09-19 20:10:36+00:00,1174777834440511488,io13 Maksudnya mereka yang bikin revisi kuhp itu Ga guna sarjananya,kodokcebongs,-1,indonesia,
35,35,2019-09-19 20:05:34+00:00,1174776568272449537,P354W1K Lha demo ruu KUHP RUU pertanahan sama UU KPK kok jadi presiden2 segala goblok amat,alie_chum,-1,indonesia,
36,36,2019-09-19 19:40:08+00:00,1174770166111948800,masalah kumpul kebo gaperlu masuk kuhp urusan moral cukup sanksi masyarakat mau jadi korut sampek ngurusin kamar orang,rrrapeurmind,-1,indonesia,
37,37,2019-09-19 19:40:07+00:00,1174770162622296064,ada lagi pasal brpnya saya lupa tentang pelarangan ajaran komunisme marxisme leninisme dsb kecuali dlm kajian keilmuan ya tidak perlu masuk kuhp kalo bisa tap mprnya cabut sekalian biar ga goblok rakyat indon,rrrapeurmind,-1,indonesia,
38,38,2019-09-19 19:35:59+00:00,1174769122216833024,kuhp,UNC0NClOUS,0,indonesia,
39,39,2019-09-19 19:35:42+00:00,1174769050578116608,Rame amat kaya aksesoris nmax Gaada yg mau aksi RUU KUHP apa,ayubalx,0,indonesia,
40,40,2019-09-19 19:22:21+00:00,1174765690290524160,Mendingan demo juga depan gedung MA agar MA memberi teguran dpr soal ruu kuhp semangat mahasiswa yg demo doa kita menyertai kalian,RabWijaya,-1,indonesia,
41,41,2019-09-19 19:01:34+00:00,1174760459330715649,terima kasih anda menjadi salah satu orang yg bisa mewakili kegelisahan kami tentang UU KPK amp RUU KUHP,Joe43369941,-1,indonesia,
42,42,2019-09-19 18:56:31+00:00,1174759187999580160,AS alaidid Revisi UU KPK Yes RUU KUHP No dihapus ayat2 yg kebablasan,programmer_tua,-1,indonesia,
43,43,2019-09-19 18:37:19+00:00,1174754359424372741,Mungkin untuk penerapan ideologi perlu batasan tapi masalah dalam rancangan revisi RUU KUHP ini mereka akan melarang pembahasan ideologi komunisme Padahal kalau sekedar definisi pengenalan dll harusnya wajar Dulu di buku IPS ada kok berjejer dengan kapitalisme dll,Guuuuuuuuuurrrl,-1,indonesia,
44,44,2019-09-19 18:30:39+00:00,1174752681233010688,mungkin itu adopsi dr kuhp yg lama dan uu peternakan mungkin jg ada kasus yg emg parah bgt kita gatau makanya jd ada pasal itu di kuhp mungkin,_shasong,1,indonesia,
45,45,2019-09-19 18:25:57+00:00,1174751497185136640,Jadi sederhananya kalo RUU KUHP itu berlaku utk aborsi scr umum tapi utk korban pemerkosaan bisa diselamatkan dg UU medis Gitu ya Mas Maaf nih soalnya saya gak terlalu ngerti hukum,ayuuunan,1,indonesia,
46,46,2019-09-19 18:25:06+00:00,1174751285586714625,jika mereka bisa membuahkan hasil mereka dpt pekerjaan hasilnya pun bisa dipake buat bayar listrik dan air di rmh singgah itu kehidupan mreka jd lbih baik yg untung negara Kura2 seperti itulah ide saya itu Mohon di teliti lagi hasil revisi UU amp KUHP,Tabitha_Jones1,-1,indonesia,
47,47,2019-09-19 18:09:09+00:00,1174747271272886273,Kek gambar2 ruu kuhp yg bersangkutan dengan kespro tuh udah huampir tak kirim ke grup inti tadi tuh,aadyorable,0,indonesia,
48,48,2019-09-19 18:02:56+00:00,1174745705530789889,percuma nanti kena KUHP,Awwyixing,-1,indonesia,
49,49,2019-09-19 17:57:52+00:00,1174744429636112384,Kenapa ditolak ruu KUHP BAGUS melarang kumpul kebo dan zina yg haram,Awanzamrud,1,indonesia,
50,50,2019-09-19 17:56:07+00:00,1174743990819676162,Pak mohon di pertimbangkan untuk revisi KUHP,lpspxx714,-1,indonesia,
51,51,2019-09-19 17:53:51+00:00,1174743418993401856,Agak bingung sama poin keenam bukanya amanat UUD 45 pasal 34 ayat 1 yang yang bilang kalau fakir miskin dan anak2 yg terlantar dipelihara oleh negara Bagaimana amanat dasar negara yang seharusnya dijalankan tapi malah masuk ranah kuhp dan bertolak belakang ga ngerti,Fchrulrziirian,-1,indonesia,
52,52,2019-09-19 17:50:31+00:00,1174742581843906560,EFEK DARI INI ADALAH MASYARAKAT KELAS BAWAH GAK BAKAL ADA KUHP INI NGENAIN PARA PEJABAT YANG KIMBOI DAN NGEBRAE JAUHH DARI RKUHP INI HUKUM INDO MEMANG TAJAM KEBAWAH KALAU PENERAPAAN ATURAN BELUM RATA ATAU HUKUM HANYA UNTUK WARGA SUSAH GAK USAH BIKIN ATURAN YANG ANEH ANEH,Dedeeaditya,-1,indonesia,
53,53,2019-09-19 17:48:04+00:00,1174741964115197952,Ngahaha tapi kalo ruu kuhp udh sah lagu saya itu kan kritikan mas Yaudalah berdoa aja buat indonesia ke depannya,rizalsimmint,-1,indonesia,
54,54,2019-09-19 17:47:33+00:00,1174741835962441728,efek KUHP gak jelas ini orang bsok mikir mending nikah siri aja dari pada masuk penjara dengan alasan ngebraeee padahal disuatu sisi ada oknum yang menentang poligami nikah siri dll ini KUHP tidak memberikan keadilan malah memberikan gambaran benturan dan perpecahan,Dedeeaditya,-1,indonesia,
55,55,2019-09-19 17:46:49+00:00,1174741647768211457,Setelah googling karena penasaran siapa tim perumus RUU KUHP ternyata mereka bukan sembarangan lho Salah satunya adalah Omar Sharif Hiariej yg tampil memukau saat jadi saksi ahli di MK pada sidang gugatan pemilu itu,Imam_piul,1,indonesia,
56,56,2019-09-19 17:45:08+00:00,1174741223858327552,pembahasan ruu kuhp ngabisin waktu puluhan tahun dan sampe sekarang belum disahkan jadi ga mungkin asal buat disetiap bunyi pasalnya,yupibbybears,1,indonesia,
57,57,2019-09-19 17:39:55+00:00,1174739911917723648,gimana menurut lu rin tentang Revisi KUHP Kok gua kesel ya,siIobster,-1,indonesia,
58,58,2019-09-19 17:39:52+00:00,1174739900270178305,pasal pasal yg diperdebatkan juga sebenernya udah ada di kuhp lama tapi kenapa baru sekarang dibesar2in ruu kuhp ngawur lah ini lah itu lah dulu kemana aja semedi,yupibbybears,1,indonesia,
59,59,2019-09-19 17:37:42+00:00,1174739355073564672,sumpah ini tolak ukurnya dan ngaretnya banyak banget hal lumbrah bsok banyak warga yang berlomba lomba buat ngarak muda mudi karena alasan ngebrae kumpul kepo soalnya gini belum ada sah KUHP ini aja warga udah banyak yang bar bar habis itu ternyata salah tangkap,Dedeeaditya,-1,indonesia,
60,60,2019-09-19 17:35:47+00:00,1174738873408086019,Referensi situ sdh te o pe kawans Pagar2 d KUHP baru sdh ckp banyak agar tdk jd semena2 Te o pe begete dahh,aan_luna,0,lain,
61,61,2019-09-19 17:26:50+00:00,1174736619112288256,Poin saya adalah oknum aparat hukum itu byk yg memanfaatkan pasal2 dlm KUHP utk mencari kesalahan demi uang tambahan atau mlah gaji pokok apalagi membaca draft RKUHP yg baru2 inj,YogaAdrianyoga6,-1,indonesia,
62,62,2019-09-19 17:26:30+00:00,1174736534471208960,Oh jd maksudnya kyai untuk jd wakil presiden adalah merubah RUU KUHP gtu ya Kyai tu maha benar Oh supaya kalo korupsi ga di penjara ya owalaah kyai otakmu mana di dengkul Allah mengajarkan umatnya untuk bersikap adil dan benar Ingat itu,inadwrhm,-1,indonesia,
63,63,2019-09-19 17:23:26+00:00,1174735765172973569,Visi dan Misi kita bersama adalah menyelamatkan bangsa ini Revisi RUU KUHP adalah bagian dari serangakaian BOM waktu yg disiapkan mereka untuk membakar amarah rakyat Anggota dewan itu bentar lagi pensiun Dan harus meninggalkan luka untuk jokowi dan rakyat,cahaya_manusia,-1,indonesia,
64,64,2019-09-19 17:22:14+00:00,1174735464600760320,Revisi KUHP buat rakyat kecil di pakai buat pejaba zholimt kagak ngaruh,DarmawanSaedy,-1,indonesia,
65,65,2019-09-19 17:17:51+00:00,1174734359309369344,thx sudah duluin jawab wkwk sudah dijawabbya mas mungkin kasusnyg mas sampaikan tidak kami bawa ke RUUKUHP karena kasusnya sedang berjalan dengan KUHP lama kalo mau tau opini sayanterkait kasus tersebut bisa scroll di home saya ada kmaren bikin,ariagaana,0,indonesia,
66,66,2019-09-19 17:17:02+00:00,1174734155797544960,didu Klo revisi KUHP hewan ternak ini disyahkan justru akan timbul mslh baru di pedesaan Krn akan bermusuhan dg tetangga contoh yg muara Unggas makan makan padi di sawah tetangga pdhl hnya sedikit tp dg adanya psal ini yg punya padi bisa ngotot menuntut akhirnya tjd bacok an,Listyanto9,-1,indonesia,
67,67,2019-09-19 17:11:47+00:00,1174732833656459264,In syaa Allah rakyat menang melawan curut curut di DPR yang sibuk dengan RUU KUHP dan RUU Revisi UU KPK Maaf kawan tikus yang anda maksud tikus mana ya PrettyBoysTheMovie,Rammmaee,-1,indonesia,
68,68,2019-09-19 17:02:29+00:00,1174730493171888128,Hihi maafin mbak Nah kan kerjaan lagi tuh ngejar bikin shelter Kalau pendanaan lancar ke NGO sih lebih bagus Masalah kesehatan mental duh gmn yaa hehe bpjs aja masih blm berjalan layak amp rata Semoga KUHP yang ini bisa dipikir pikir lagi ya,babynvy,-1,indonesia,
69,69,2019-09-19 17:00:38+00:00,1174730024877867014,Lalu ada RUU KUHP RUU PKS yang tarik ulur dan memberikan kesan proses reformasi ditarik jauh ke belakang Pemerintah terutama dimotori Kemenhumkam terkesan hanya mengejar target legislasi segendang sepenarian dengan DPR,hardsgian,0,indonesia,
70,70,2019-09-19 16:58:55+00:00,1174729594412208129,Trus akhirnya dia dipenjara karena kena pidana menurut KUHP yg baru,itsmeterre,0,indonesia,
71,71,2019-09-19 16:56:56+00:00,1174729096263163905,gw dukung menolak RUU KUHP tp tidak dng UU KPK SEKALIAN SERET SI FADLI ZONK CS YG JADI BIANG KEROK KISRUH DI NEGARA INI,JTsanada,-1,indonesia,
72,72,2019-09-19 16:56:16+00:00,1174728926750359552,BS RUU KUHP juga gila bener poin2nya,_GunSo,-1,indonesia,
73,73,2019-09-19 16:55:48+00:00,1174728811570577408,Bukan mba Ada di pasal 48 apa yaa Pokoknya bab 1 KUHP,dnldnlstm,0,indonesia,
74,74,2019-09-19 16:54:09+00:00,1174728393373319168,Tapi lucunya masyarakat mayoritas malah dukung si revisi kuhp Yg ngelawan mah pasti dianggap liberal yayayaya,Arrivederciao,-1,indonesia,
75,75,2019-09-19 16:53:14+00:00,1174728163005386752,org tp yg demo mahasiswa yg pro kemana dulu kog ada segala penolakan ruu kuhp sm soal minoritas segala maksudnya apa,garislurus0,0,indonesia,
76,76,2019-09-19 16:50:23+00:00,1174727447348039680,Kita sepertinya kudu balik S1 lagi ndra kalau KUHP nya dirombak total,vailentinus,0,indonesia,
77,77,2019-09-19 16:49:57+00:00,1174727337515999234,KPK lah KUHP lah anu lah itu lah Seakan semrawut kayak otaknya Rocky Ger,destryawan_,-1,indonesia,
78,78,2019-09-19 16:49:38+00:00,1174727256662347776,Saran saya jernihkan pikiran dulu lalu dibaca rancangan UU yg baru Termasuk KUHP dan PKS Pasti ngeh dgn apa yg diinginkan netijen,papakocheng_,0,indonesia,
79,79,2019-09-19 16:46:13+00:00,1174726399749263361,Sejak 1993 pemabahasan RUU KUHP bahkan sebelum SJW dan aktivis2 itu lahir,aewin86,0,indonesia,
80,80,2019-09-19 16:44:21+00:00,1174725928775086081,Iya salah satunya itu dan kpk udah gak independen doain aja dpr gak ngesahin ruu kuhp,TxtnyaSultanFjr,-1,indonesia,
81,81,2019-09-19 16:43:19+00:00,1174725668598251520,DPR periode 2014 2019 jlebih biadab dari belanda yang ratusan tahun menjajah Indonesia apakah mau hidup dengan meninggalkan legacy KUHP yang lebih zalim dari KUHP jaman penjajahan Foto muka sendu dan sepatu kotor ga akan berguna kali ini Cc,Dika76595557,-1,indonesia,
82,82,2019-09-19 16:43:07+00:00,1174725618170073088,Kalau uu pembeasan bersyarat gimana Uu kuhp yg lebih kecil hukumannya drpd uu tipikor gimana,ChaosnightTjm,0,indonesia,
83,83,2019-09-19 16:41:58+00:00,1174725330415677440,Nasional Kompas 7 jam yang lalu Pengunjuk Rasa di DPR Bertambah Desak Pencabutan RUU KPK dan KUHP tuh karena itu,madeinwords,-1,indonesia,
84,84,2019-09-19 16:41:27+00:00,1174725199498862593,Revisi KUHP Hewan Ternak Main ke Lahan Orang Kena Denda Rp 50 Juta,2211_faik,-1,indonesia,
85,85,2019-09-19 16:41:00+00:00,1174725085933891584,Revisi UUKPK dan RUU KUHP merendahkan Pemerintahan Jokowi ke depan,achmad_taher,-1,indonesia,
86,86,2019-09-19 16:39:20+00:00,1174724666092474368,Hahaha yaa daripada mikirin ini negara ada aja problemnya apalagi pas liat isi RUU KUHP ckck,llProfessore,-1,indonesia,
87,87,2019-09-19 16:37:43+00:00,1174724260721381381,Sanusi Kecolongan bisa turun tuh kepercayaan masyarakat Tuntut secara hukum jelas ada indikasi pasal KUHP 378 Ajukan dana 450 juta utk harga yg dibawah 60 jutaan Adakah oknum yg iniasi upaya pengelapan dana masyarakat dr perusahaan itu LAPORKAN,edhi_shi,-1,indonesia,
88,88,2019-09-19 16:37:18+00:00,1174724154412503046,puisi RI Widih sampah goblok ga bisa debat cuman punya narasi goblok Sono cuci muka dolo Kasian anak istri ga makan kalau loe ga cebokin revisi uu kpk dan kuhp Nuduh kpk piara buzzer Goblok boleh jgn di pamer deh Belum baca laporan keuangan kpk Baca dolo br bacot,ChaosnightTjm,-1,indonesia,
89,89,2019-09-19 16:36:05+00:00,1174723846764560385,Dibaca dipilah2 mana yg ditolak mana yg diterima Ajukan judicial review ke MK kalo ternyata dah disahkan Yg pasti ganti KUHP nya kumpeni,zada_wistara,-1,indonesia,
90,90,2019-09-19 16:32:29+00:00,1174722944418738177,senpai Nanti dalam RUU KUHP nya tertulis berlaku surut Kena juga loe 10 tahun,linus12a,-1,indonesia,
91,91,2019-09-19 16:30:27+00:00,1174722432453578752,puisi Eneste iki MetroTV RI Narasi goblok dr org goblok Ganti nick lu jadi penjilat tolol ga cocok yg sekarang kata gue juga Jadi uu salah juga kita anggap benar krn mereka lebih mengerti Kuhp byk yg ngaco anggap benar saja kalau begitu Keep goblok bray Otak di pake jgn jadi pajangan,ChaosnightTjm,-1,indonesia,
92,92,2019-09-19 16:25:33+00:00,1174721199181402113,iki Eneste puisi MetroTV RI Lol lihat secara seluruh donk jgn asal comot Uu kpk kuhp dan uu pembebasan bersyarat lihat garis merahnya Loe akan sadar semua melemahkan pemberantasan korupsi Mending loe cuci muka sebelum jadi tukang kibul seperti si pengarang bokep,ChaosnightTjm,-1,indonesia,
93,93,2019-09-19 16:20:42+00:00,1174719976852180992,Sangat disayangkan sekali dengan adanya revisi KUHP yang luar biasa bobrok banget Saya pribadi belajar banyak mengenai edukasi seks melalui matkul ini Dan bahkan ada lintas minat kesehatan reproduksi di fakultas tempat saya kuliah,callhermer,-1,indonesia,
94,94,2019-09-19 16:19:09+00:00,1174719586345766914,Sidang dpr utk ruu kpk kuhp ibarat nsi kurang matang buah karbitan dilakukan tanpa prosedur yg berlaku,toga76,-1,indonesia,
95,95,2019-09-19 16:17:10+00:00,1174719087982731266,lord666666 Dulu alasan bikin Fatwa ucapan Natal karena dia jadi ketua MUI ambil kesepakatan antar Majelis kalo dia pribadi katanya ucapan Natal gapapa tapi sekarang nyurati DPR utk segera sahkan KUHP amp Menunda RUU PKS sbg ketua MUI coba dong tanya lagi ke dia Kalo pribadi gimana,glorindra,0,indonesia,
96,96,2019-09-19 16:16:31+00:00,1174718925759643648,RKUHP ini memiliki dimensi yg sama KUHP ini ibarat pegangan kita hidup di Negara ini apa yg boleh dan tidak Gimana,uyaboira,0,indonesia,
97,97,2019-09-19 16:14:30+00:00,1174718416399171585,Moga moga Mas kalau privatisasi penjara bagi saya itu menarik tapi sangat disayangkan kalau hanya untuk ladang bisnis baru yang difasilitasi revisi kuhp,pengumpulpetir,-1,indonesia,
98,98,2019-09-19 16:13:21+00:00,1174718128514691072,cpt balik sblm ruu kuhp disahkeun,asanethew,-1,indonesia,
99,99,2019-09-19 16:08:42+00:00,1174716957049815040,bahkan kata dosen saya RUU KUHP dirancang waktu dia masih kerja di kemenkumham sampe sekarang pensiun dan jadi dosen masih belom jadi juga,irenasn,0,indonesia,
100,100,2019-09-19 16:08:31+00:00,1174716911193448448,Berarti besok Jumat 20 September 2019 ada MahasiswaBergerak di Gedung DPR MPR yang nolak Revisi UU KPK UU KUHP dan UU PKS Selain itu besok juga ada PenunggangMahasiswaBergerak yang nuntut Jokowi mundur Silahkan saling tunggang Buat Mahasiswa Tetap waspada,cgtrisanjaya,0,indonesia,
101,101,2019-09-19 16:06:33+00:00,1174716416265580550,RUU KUHP itu sebenernya udah dari beberapa tahun yg lalu dirancang dan belum disahkan sebagian isinga memang gak berubah dan baru akhir akhir ini mendadak viral karna ingin segera disahkan jadi mungkin emang udah dibuat 2 tahun lalu itu cmiiw,irenasn,0,indonesia,
102,102,2019-09-19 16:03:28+00:00,1174715640969478144,Eh Tambah lahi deh tolak RUU KUHP,Ryudandi1,-1,indonesia,
103,103,2019-09-19 15:58:13+00:00,1174714317846958081,Nomer 1 korban perkosaan itu dipenjara 4 tahun kalau mau gugurin hasil perkosaan disini gua ga paham yang mau dipidanakan itu dia sebagai korban atau dia sebagai tersangka penguguran pidana klo tersangka pengguran kandungan sebelumnya udah di atur di KUHP,snprty,0,indonesia,
104,104,2019-09-19 15:56:23+00:00,1174713855911481344,politik Maruf Amin surati DPR minta cepat2 sahkan RUU KUHP ayuk Trisakti BEM UI UKI dan mahasiswa waras bergerak,Santo_Yu,-1,indonesia,
105,105,2019-09-19 15:51:58+00:00,1174712744869675008,BRO HENTIKAN DAN TOLAK JUGA HAPUS REVISI UU KPK DAN RUU KUHP YANG BISA AKIBATKAN DEMON BESAR BESARAN MEREKA BERPOLITIK UNTUK BISA TERJADI GELOMBANG REFORMASI JILID II UNTUK TUJUAN MENJATUHKAN DIRI BRO DARI KURSI KEPRESIDENAN PERCAYA SAMA SAYA BRO SAYA MASIH TEMAN KAMU BRO,yunankingstar1,-1,indonesia,
106,106,2019-09-19 15:51:53+00:00,1174712726729326592,Pada dasarnya pengguguraun kandungan sudah dilarang sejak dulu menurut pasal 346 kuhp yang sudah berjalan sampai sekarang,icebears24,0,indonesia,
107,107,2019-09-19 15:51:08+00:00,1174712537377460224,Karena kuhp yang digunakan sekarang adalah warisan Belanda yang berumur lebih dari 100 tahun,Col_Mactavish,1,indonesia,
108,108,2019-09-19 15:47:59+00:00,1174711745337683968,Malah jauh lbh buruk dibanding KUHP warisan penjajah,BambangPeha,-1,indonesia,
109,109,2019-09-19 15:44:49+00:00,1174710949053231106,Maaf newbies twitter RUU KUHP KAMPANG jokowiMUNDUR,Incrediboyyyy,-1,indonesia,
110,110,2019-09-19 15:42:06+00:00,1174710263339081728,elgenaro Ramadhan1 Faktanya rkuhp yang sekarang lebih feodal dari kuhp bikinan kompeni,unforetoldmyth,-1,indonesia,
111,111,2019-09-19 15:39:27+00:00,1174709597929533440,Ternyata lbh suka KUHP bikinan kompeni Ramadhan1,ayub_elgenaro,-1,indonesia,
112,112,2019-09-19 15:39:24+00:00,1174709585879240710,Yg ngomongin ruu kuhp,ransumdoc,0,indonesia,
