no,full_text,class
34,kos cewe jaksel cilandak kko transum ada tj D21 angkot 61 jaklingko 46 makanan banyak udh incl air listrik kamar mandi sharing ya tp more info dm ajaa bantu2 ibu kos krna kamar ada yg kosong hehe,0
35,Transjakarta Baik semoga dilancarkan dan dimudahkan insyaAllah bisa meningkatkan konektivitas penumpang JakLingko ke shelter TransJakarta mengingat daerah marka tsb sudah ada huniaan yg cukup ramai dan beberapa tempat keramaian terima kasih,1
36,gw taunya jaklingko sama tapcash doang flazz dlu gw gabisa,0
37,TJ emang bisa Di MRT Dukuh Atas ada mesin Jaklingko dan MRT Krn itu yg kuceritakan ya MRT,0
38,ooh berarti yang vending machine itu bisa buat semua kartu y gak jackcard nya jaklingko sama emoney aja,0
39,min Transjakarta klo mau naik 7D tapi dari rambutan bisa naik jaklingko ga trs start 7D skrg dari mana ya,0
40,menfess ini klo di Jakarta bisa di pake buat naik jaklingko ga sii serius nnya klo bisa mau beli soalnya klo ke kampus naik jaklingko,0
41,Transjakarta Sorry mas jadinya nemu gak Jaklingko Flazz nya mas Aku nyari gak dapet dapet,0
42,Transjakarta Mbak beli Jaklingko Flazz kapan ya Aku nyari belakangan ini gak pernah ada lagi,0
43,Transjakarta Min dimana bisa beli Kartu Jaklingko Flazz,0
44,Kebayang yg bawa stroller mo naik angkot jaklingko,0
45,Entah wkt itu apes ato gmn naik angkot di jakarta kek reyot2 bgt bukan jaklingko angkot bandung gajelas cm rame di rute2 tertentu angkot surabaya aplg udh gajelas gaib sekalinya ada lemot bgt resek bikin misuh pengendara lain,0
46,Kereta cepat bukan transportasi umum si ini murni bisnis kek Garuda Indonesia jangan samain dg KAI dan TJ yg memang tujuannya bukan murni bisnis yg hebatnya pak Jonan bisa jadi untung dan hebatnya TJ bisa di ekskalasi dg jaklingko,0
47,Transjakarta Izin nanya min kartu jaklingko bisa dibeli dimana saja ya dan apa bisa sekalian dipakai untuk mikrotrans angkot,0
48,Angkot jaklingko bisa pake emoney ga si,0
49,dilumat Halim harus jalan kedepan gerbang trus naik angkot jaklingko hahaha sama kaya bandara di bdg,0
50,Transjakarta Berlaku buat jaklingko jg gak nih jam operasional hari ini min,0
51,Transjakarta jaklingko 12 tujuan tanah abang pasar kebayoran beroperasi jam berapa kak hari ini,0
52,lagian jaklingko sm tj ga lewat lewat sialan,2
53,itu emoney bilang aja lu mau naik jaklingko tp emoney lu ilang mah beliin mah,0
54,Transjakarta halo min mau tanya jaklingko untuk hari ini jam berapa beroperasi,0
55,Transjakarta jaklingko beroperasi ga min hari ini,0
56,bandung tuh butuh bus krl dan angkot semacem jaklingko dijamin dah tuh sektor pariwisatanya makin maju,0
57,Itu tindakan yg bgs tetapi ad yg blm di bangun halte RSCiputra citra5 kalideres sampe sekarang klo mau nungguin mobil jaklingko susa kadangkehujanan,0
58,ada jaklingko,0
59,pernah bincang dg org bappeda menyodorkan ide tentang skema Transjakarta atau minimal microtrans JakLingko diterapkan di Kab Pasuruan Harus ada kajiannya terlebih dahulu Karakter daerahnya berbeda Anggarannya berbeda Yaa gak ada yg salah memang dengan pernyataannya tp,0
60,buat gw naik jaklingko aja sini,0
61,masa ya tadi pagi gue lagi nunggu jaklingko terus ada kambing lewat dibawa pake motor terus kambingnya mbek mbek an terus gue yang SEDIH BANGET,0
62,Beli ga yh buat apa jg gua Masi sekola paling buat jaklingko itu pun males empet an,2
63,Hahaha bolak balik gratis mah cuma naik Jaklingko,1
64,Untuk jaklingko 106 42 dan 74 kalau bisa ada pemberhentian di halte busway cipinang karena halte cipinang lontar setelah magrib gelap gak ada lampu di halte dan seram krn posisi belakang halte sebelum ada fly over banyak yg tertabrak kereta di situ Mohon perhatiannya ya min Tx,2
65,gw suruh lu buka hp gw ada histori foto lu malah ngarul kidul bilng gw sering bgitu di tj jaklingko gw bru ketemu lu aja bru sekali terus lu dgn beraniny nampar gw emng stres anjing mending kasih tarif deh biar orang yg gatau aturan kaya dia gausa naik seenaknya,0
66,untuk ibu2 stress gila tadi pagi naik jaklingko 47 yang nuduh gua foto dia padahal buka kamera juga ngga dan nampar gua seenaknya lu bikin gua trauma naik jaklingko ya dari terminal pasming harusnya gua ga telat kerja gua harus telat karena lu yg nuduh gua foto lu,2
67,Or supir jaklingko penjual tissue kang ojek supir 121 pak ogah depan plasa cibubur,0
68,dan JANGAN PERNAH LUPA USAHA ORANG2 JAKARTA KEPENGEN PUNYA TRANSPORTASI PUBLIK SENDIRI makanya dulu perusahaan2 transportasi swasta menjamur yg paling terkenal yaa angkot microbus suzuki carry dan kijang noh klo skrg banyak yg udh gabung ke jaklingko swasta tapi negeri,0
69,Transjakarta min info dong kalo dri stasiun cakung ke aeon jgc ada rute jaklingko ga,0
70,Transjakarta min berarti kalo subuh mau berangkat sholat ied adha ke masjid Istiqlal ga bisa pake transportasi umum kayak Transjakarta sama Jaklingko dong Bisa atau ga ya Mohon konfirmasinya min,0
71,Abis berantem sm orang di jalanan gara2 dia parkir pas bgt didepan plang bus stop sampe gue di skip 3 jaklingko manusia bgst semoga ban mobil kempes mobil lu kena senggol ampe bodynya penyok anjing,2
72,Transjakarta Halo hari ini Jaklingko beroperasi sampai jam berapa ya,0
73,Buktinya mana Integrasi saja tak mampu memiliki ide kok main klaim JAKLINGKO JAKLINGKO artinya apa cek data fakta Kasihan penggemarmu hok hok Edan rakaruan,2
74,Padahal gak harus sekelas busway perapihan angkot aja bisa cukup membantu contoh Jaklingko Tapi ya balik lagi ke political will tiap kepala daerah yang masih minim,1
75,biasanya di alfa sama mesin to up yg di busway jaklingko kak,0
76,sebenernya gw pengguna jaklingko sejati sampe mati tapi boleh lah beli tepkes,1
77,iya kak bisa jaklingko,0
78,aku top up biasanya di alfa mesin top up yg di busway jaklingko,0
79,udh kak sering iya bener jaklingko angkot,0
80,Ini proyek kai masih jalan gais biar jis terintegrasi busway udah 4 rute juga jaklingko 2 apa 3 gitu aman pokoknya sabar ya semua butuh waktu pembangunan begini tuh ga bisa cepeet,0
81,Jaklingko yang kyk angkot gitu kan,0
82,Jaklingko emang bisa kok kak,0
83,Kayanya gw ga sanggup deh magang nya lokasi kantornya gila jauh bgt 2 5jam an anjir Itu total 5x transit dri mulai naik tj ke manggarai ke duri ke rawabuaya naik jaklingko lg trs pemberentian terakhir masi hrs jalan 1 3km mau gamau naik gojek,0
84,Kak mjb kamu udh pernah pake buat jaklingko kah,0
85,mjb kak untuk naik jaklingko tetep free atau saldonya kepotong ya,0
86,bisa buat apapun bayar tol bayar parkir naik busway mrt krl jaklingko lrt apapun itu yg noncash nanti isinya dihalte busway bisa diminimarket jg bisa setauku,0
87,Stadion tinggal di maintenance terus lalu Pemda dg political willnya bangun transportasi umum dan lanjutkan integrasi transportasi dg Jaklingko nya,0
88,ini buat yg nnya tapcash buat apa sih mnrtku ini berguna karna aku jg suka keluar pake transportasi umum bisa di liat di logo ada e toll bayar makan di resto tertentu belanja di tempat tertentu bayar tempat wahana jaklingko busway krl mrt parkir bensin,0
89,hari ini first time balik kerja langsung ke kos yang baru mulai membiasakan diri 2 kali naik jaklingko banyak2in sabar nunggu,2
90,bisa buat e toll bayar belanja di tempat tertentu krl mrt jaklingko busway,0
91,mjb bisa buat naik krl mrt jaklingko busway belanja di tempat tertentu e toll juga,0
92,ayy mjb di alfa ada yg 20 bisa atau 50 admin 1 500 kalo di mesin jaklingko busway bisa 10 admin terpotong di saldo 1 500,0
93,ak baru aja beli brizzi sama jaklingko ap g mw koleb jg gtuh,0
94,Dari bandara keluar parkiran dikit udah ketemu jaklingko di depan gereja oikumene cek gmaps Dianterin sampe halte busway cawang uki,0
95,Hai Kak Pada Hari Raya Idul Adha Mikrotrans Jaklingko beroperasi pukul 09 00 WIB Terima kasih DN,0
96,Edukasi dimulai dengan pembekalan materi seputar LRT Jakarta amp sistem integrasi JakLingko Indonesia Setelah itu site visit Depo untuk melihat secara langsung perawatan Light Rail Vehicle LRV hingga mencoba layanan NaikLRTJ dari Stasiun Pegangsaan Dua hingga Velodrome,0
97,Idul Adha Layanan Transjakarta baru beroperasi jam 09 00 Transjakarta kalo untuk mikrotrans seperti jaklingko baru beroperasi pukul berapa min,0
98,Idul Adha Layanan Transjakarta baru beroperasi jam 09 00 kalo untuk mikrotrans seperti jaklingko baru beroperasi pukul berapa min,0
99,Transjakarta Yey ditunggu launching rute baru Mikrotrans Jaklingko setelah Idul Adha nanti min,1
100,Jaklingko nya sampai dalem kah Kalau harus jalan keluar mah sama aja Mau moda apa juga bisa Naik angkutan dari luar bandara bukan angkutan bandara,0
101,jkt menarik di mrtj jg hrs pilih from to stasiun kok itumah udah biasa kalo di jaklingko bs ewallet yg biasa hrsnya mrk promosi gila2an ya nanti gw cb deh,0
102,jkt Bisa pake app jaklingko bayar pake QR yg mana paymentnya bisa pake e wallet kek gopay atau ovo Meski agak ribet sih via apps dan harus pilih stasiun tapi buat yg gmau beli kartu mau gamau bisa pake cara itu,2
103,kalo semisal dari rumah kamu ke sekolah ada angkutan umum kamu bisa naik itu atau bisa juga naik jaklingko kalo kamu tinggal di Jakarta bisa juga kamu bawa bekal sih nder,0
104,Hallo SobatMITJ sekarang Anda dapat terhubung dengan semua transportasi umum hanya dengan satu aplikasi lho Saatnya lengkapi semua kebutuhan transportasi umum Anda menggunakan aplikasi,0
105,Ada jaklingko kok buat sambung ke busway,0
106,Pembayaran melalui uang elektronik bank seperti e money Brizzi Flazz TapCash JakCard serta metode kartu MRT dan JakLingko masih bisa digunakan kok Jangan lupa share juga ke orang terdekatmu biar banyak yang tau yaa Source,0
107,Official Klo sesama TJ ga tp klo abis naik TJ naik MRT tarifnya lbh murah pake jaklingko dibanding kartu biasa,0
108,gunawan Official Kalo pake kartu Jaklingko masih gitu sih sistemnya,0
109,Transjakarta Hai Kak Bisa ya Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline 1,0
110,Mending pake jaklingko lah Ke monas cuman 6750 wkwkwkwkwkw,1
111,Yah seenggaknya di jaklingko bisa ya ka,0
112,Hai kak silakan Menuju Halte Juanda naik Rute 2ST turun di M H Thamrin dan transit Rute 9D turun di Tanah Abang Jaklingko kemudian naik JAK 08 turun di Bus Stop KPP Pratama Tanah Abang Terima kasih MB,0
113,Nha ini apakah sudah ada aturan jelas bahwa transportasi umum itu tidak boleh eksklusif termasuk didalamny dgn mengakomodir seluruh mode pembayaran normatif Jujur ini buat pusing loh Cash E Money bank E Wallet Mrt card jaklingko QRis eh ast pay,2
114,antara mempertahankan kartu flazz gen 2 ini atau digadaikan dengan kartu jaklingko hmm,0
115,hm considering to use jaklingko krn penasaran sm tarif terintegrasinya would be very cool kl modelannya persis kek ov chipkaart,1
116,moodku tergantung supir jaklingko tapi dia gapernah baik jd aku badmood teroos,2
117,jkt Transjakarta iya tapi waktu itu casenya knp aku harus download tije karena rute yg aku pengenin ga ketemu di aplikasi JakLingko padahal rutenya cukup populer lah GOR Sumantri ke Benhil jadi petugas di halte saranin buat coba pake app tije,0
118,dulu SMP dikasih 20k terus w bawa bekel jadi masih utuh Pulang naik jaklingko gratis even kalo mau jajan paling ngeluarin duit buat beli minum 2 rebuu INTINYA max goceng Cuma kalo emg mau jajan lebih ya jajan aja jgn sering2 AKHIRNYA SMP AK KAYA BYK DUIT drpd skrgg,0
119,Transjakarta hallo min mau tanya apa bisa sewa jaklingko lepas kunci,0
120,Bisa Gua kalo lg mrt dan pgn pake qr selalu dari app jaklingko,0
121,ohbisa ya qr lewat app jaklingko,0
122,Transjakarta plis perpanjang jaklingko tj sampe cirendeu gue stress banyak euy pulanh ngikutin rush hour terus,2
123,di app jaklingko bisa liat koridor dan rute kyk app tije juga ga dim,0
124,Download jaklingko aja walaupun milih stasiunnya agak ribet tapi bisa bayar pake QRIS kok jd gopay ovo dana dll bisa semua dan udah bisa nyatu jg buat TJ MRT dan LRT,0
125,Nah kalo begini gue baru tertarik Bahkan kalo bisa JakLingko kepake juga buat bayar taksi sekalian,1
126,halo admin saya hari ini isi kartu jaklingko tapcash menggunakan aplikasi shopee dan sewaktu saya mau update di vending machine malah muncul tulisan sepertii ini padahal saldo seabank saya sudah berkurang mohon dibantu Transjakarta,2
127,Hai Kak Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline Terima kasih,0
128,jkt Transjakarta Bukannya kalo tj itu pake appnya jaklingko ya Setau saya pake ewallet apa aja bisa itu yg bisa qris dari app jaklingko,0
129,Transjakarta Nunggu jaklingko udah di halte 40 mnt ga dateng2 sekalinya lewat ga mau berenti padahal kosong Tau gitu jalan kaki aja dr awal 20 menitan nyampe Sampe gw mikir apa ini ya slh satu alasan org lebih milih beli kendaraan pribadi drpd pake transportasi umum Makin macet polusi,2
130,Ga pas nunggu angkot jaklingko ga nunggu busway ga pas naik buswaynya jam segini jam jam Penuh puadet merayap Nyampe rumah malem ini sih,2
131,Di masa dia TJ boleh ancur tapi kalo sampe Jaklingko diacak sama doi gue katain sampe mampus,2
132,Kalau tau bakalan hujan kek gini gua mending naik jaklingko dah males banget kalau bawa motorr,1
133,tapi jaklingko registrasinya agak ribet sih tbh so gw gapake app itu,2
134,Supir Jaklingko galak2 bgt kayanya masih lebih ramah supir angkot,2
135,Masih bisa bayar pake QRIS universal kalo beli tiketnya lewat aplikasi Jaklingko,0
136,beli di app jaklingko bisa bayar pke qris,0
137,Makanya datang aja sekali2 kesana naik busway pulang naik jaklingko atau naik KRL tinggal jalan kaki aja Deket belom pernah kesana kok bisa ngomong 5 THN LG Ogeb amat,0
138,Hai Kak Bisa ya untuk KMT Commuterline dapat digunakan naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank lainya seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI Terima kasih,0
139,Kok makin blo on kau Lae pantas kau kayak bencong JIS sengaja parkiran sedikit Krn diharapkan pengunjung menggunakan transportasi umum yg SDH terintergrasi semua dari busway jaklingko LRT MRT jadi semua masyarakat JKT dan sekitarnya bisa datang cuma LRT aja seperti diperlambat,2
140,I might switch to JakLingko once bisa dipake bayar parkir sama bayar tol Kudunya JLI bisa jadi Suica Pasmo nya Jakarta,1
141,Hai kak Kartu Kereta tidak bisa untuk naik Jaklingko Terima kasih DN,0
142,Kalo dari jawaban Bu Pipit harusnya iti fungsi jaklingko tuhh sbg stakeholder integrasi tarif di level taktis Tapi bargaining positionnya lemes bangett malah kek disuruh idup sendiri Apalagi skrg udh gabisa bergantung ama pemprov,0
143,AWKWKWKWKKWWK gausa ke dufan lagi cuy stiap hari uda naik jaklingko,2
144,kalo duduk di bawah kan pegangan ke bangku aowkwk btw jaklingko smpe skrg masi gratis gasi,0
145,Pembayaran tiket MRT lewat dompet digital hanya bisa dilakukan melalui isaku Astrapay dan blu by BCA Kemudian opsi pembayaran lain bisa dilakukan dengan kartu uang elektronik seperti e money Brizzi Flazz Tapcash dan Jakcard Kamu juga bisa pakai kartu MRT dan Jaklingko,0
146,Hai Kak Bisa ya untuk KMT Commuterline dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank lainya seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI Terima kasih,0
147,Simak berita selengkapnya di sini Jangan lupa follow akun Bisnismuda lainnya ya Be emers bisnismuda transportasi jaklingko krl mrt jakarta,0
148,3 Mikrotrans Mikrotrans sering juga disebut pengganti angkot karena bentuknya sama seperti angkot Kalau mau lebih hemat pakai aja kartu Jaklingko karena bisa naik secara gratis dan kamu bisa naik dari bus stop terdekat dan turun di mana saja,0
149,Banyak diantaranya yang memprediksi bahwa tarif angkutan umum yang menggunakan BBM seperti ojol dan taksi online akan naik juga Untungnya ada kabar baik untuk kamu warga Jakarta Pemprov DKI memiliki sistem integrasi transportasi umum yang dinamakan Jaklingko,0
150,Kalo yg di app mrt per 1 juli udah ga bisa ovo gopay dana cuma bisa astra pay isaku sm blu bca Kalo pake app jaklingko bisa kok bayar pake ovo gopay pake pilihan qris nya,0
151,Transjakarta Halo min untuk jaklingko apakah bisa menggunakan kartu krl,0
152,No more Gopay OVO Dana Tenang masih ada aplikasi JakLingko bisa bayar pakai QRIS,0
153,gilaaa ga kejauhan kah transport murah ya jaklingko krl transjakarta better cari kost yg deket stasiun krl rute tangerang drpd hrs ganti2 moda berkali2,1
154,jaklingko,0
155,Kok pada marah marah sih Pada ga baca beritamya ya Padahal disebabkan habis kontrak dan belum ada komunikasi kelanjutan kontrak yang mungkin bisa terjadi Lagian bisa bayat pakai JakLingko sama e money Wkwkwk pada ngapa dah,0
156,Wajar bgt org2 jakarta ini emosian kali kutengok jarak kantor ke kosan 1 3 km aja setengah jam lebih sendiri aku di jaklingko ini allahu bisa ga aku lewat udara aja ke kantor,2
157,Kartu uang elektronik hemm normatif QR kok ada yg aneh ngga bisa semuanya nih Kartu tap khusus met dan jaklingko Eh moda pembayaran yg lain gimana monopoli lagi nih,2
158,jkt yaa banyak pilihan juga sih ya di jkt ada busway ada mrt ada krl ada jaklingko ada ojol Tinggal disesuaikan aja sama kebutuhan Sbnrnya kartu tapcash emoney flazz itu juga berguna sih bisa buat banyak hal juga gaperlu punya bank digital juga bisa punya ewallet kok,0
159,Itu yang di foto ketiga kartu JakLingko versi Flazz Bang Flazz yang biasa juga saya punya,0
160,Dipaksa untuk pake apps jaklingko ini mah mangkanya apps mrtj gak pake itu,2
161,Btw Fello satu grup sama siapa ya Msh jd main payment di JakLingko Jangan2 Djarum Group,0
162,Ada yg masih pake aplikasi MRT J aja udah aneh Padahal sekarang udah ada Aplikasi Jaklingko bayar pake QRIS bisa untuk naik Transjakarta dan MRT juga,0
163,kayanya kalo order via jaklingko masih bisa deh soalnya dapet qris gitu kalo mrtj app gabisa make ketiga e wallet yauda tinggalin aja gausa pada make ntar kan usernya berkurang otomatis,0
164,masi ada Jaklingko App yang bisa pake QRIS fello kok jadi gopaynya masi bisa buat scan QRIS nya,0
165,Transjakarta Min kartu flazz BCA apa bisa untuk mikro trans angkot Jaklingko Atau hnya bisa untuk TJ saja,0
166,Min ini bisa buat semua kartu ya termasuk kartu flazz Kl dah aktif nnt bisa dipake buat semua moda transportasi Seperti LRT MRT TJ dan mikroTrans angkot Jaklingko,0
167,Emang aneh makanya padahal pake Jaklingko itu udah bener dan tepat buat integrasi sayang keknya emang mungkin udah deal sama pemegang hak nama stasiun jadi harus pake metode itu di appnya sendiri yang mana agak redundant mengingat jalur MRT belom panjang,1
168,Transjakarta Kacau ya Pake kartu JakLingko tapi kepotongnya tarif normal pas tap out di bus TJ B21 Terjawab sudah kenapa boncos belakangan ini Sistem tarif integrasiya belum merata Terima kasih Transjagacha,2
169,k250ub Bang kl pake kartu flazz BCA bisa ga sih naek angkot Jaklingko amp TJ,0
170,Min pake flazz bisa ya buat naek angkot Jaklingko amp TJ,0
171,Padahal kalo mau naik MRT pake dana gopay ovo dkk bisa lewat Jaklingko kawan,0
172,Transjakarta Pake astrapay atau aplikasi jaklingko deh,0
173,Pake app Jaklingko kalo misal ke tujuannya harus pindah beberapa moda transportasi misal naik MRT terus nyambung Transjakarta KCJ malah bisa dapet tarif yang lebih murah,1
174,Yang marah marah sama post ini keknya emang pada gatau kalo masih ada opsi buat pake app Jaklingko untuk beli tiket MRT lewat QRIS yang mendukung lebih banyak dompet digital Bahkan pake Jaklingko bisa naik KRL MRT Transjakarta dan LRT Jakarta dengan tarif terintegrasi,1
175,Transjakarta Kok saya sering kali tap tapi mesin pada angkotnya tidak support untuk kartu emoney jaklingko,0
176,Satu2nya pemimpin yg berani melakukan kebaruan dengan subsidi tepat SASARAN mas satukan arah transportasi umum dalam integrasi JAKLINGKO agar masyarakat nyaman aman tepat waktu bertransportasi Hasilnya mengurangi kemacetan dan net zero emmison carbon,1
177,Dan sebenernya kalo mau pake digital wallet yang umum dipake beli tiket MRTnya bisa pake app Jaklingko,0
178,Transjakarta Min mau tanya kalau naik angkot jaklingko bisa pakai kartu jaklingko dari bank mana saja ya,0
179,Hai Kak Mengenai saldo terpotong 2 kali silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi Whatsapp 0812 6000 1440 Phone 021 29223034 Email customercare co id Trims RA,0
180,Mengurangi saldo ya Kakak dapat melakukan pembayaran menggunakan kartu uang elektronik bank yaitu JakLingko Terima kasih,0
181,Sudah saya laporkan ke CS jaklingko via WA dengan No Laporan 8046 untuk kasus yang kemarin,0
182,Jaklingko sih paling kalo Astrapay ngeri om biaya adminnya gede banget bikin orang ga niat untuk pake ini mana jarang kan merchant yang pake nih e wallet hahahah Mangkanya liat aja TJ ujungnya after LinkAja bubar malah balik ke kartu,1
183,ngetap di MRT dengan menggunakan jaklingko apa mengurangi saldo apa gratis,0
184,Hanya diminta untuk tap in dan tap out Menggunakan kartu jaklingko atau kartu isi ulang pada umumnya,0
185,Hasil ngobrol2 di dunia maya jaklingko ini sistemnya bukan setoran kurang lebih jarak yg ditempuh Ini sebabnya gak ada yg ngetem,0
186,Jaklingko ini berhenti pada tandanya kursi depan untuk prioritas atau kalau kursi di belakang sudah penuh,0
187,Hari kedua naik jaklingko anginnya banyak karena gak ngetem pasti duduk dan ternyata murah banget Rp 0,1
188,Nah Jkt ini masih banyak yg nganggur karena keblok syarat umur kan Mrk2 ini kl diberdayakan jadi driver Jaklingko tentu izin juragannya mungkin rute rute angkot itu bisa 24 7 Layanan NBRT aja mulai sampe malem ky 7B gr2 warga kalcit,0
189,Transjakarta min tolong banget ini mh jaklingko benhil kenapa pada jahat dan tidak ramah sih drivernya padahal sudah di bus stop tapi tidak berhenti padahal kondisi jaklingkonya kosong,2
190,semoga jaklingko ku di top up in bude,0
191,pembayaran memakai jaklingko mengurangi saldo ga minn,0
192,Kyknya semua mau dialihin ke jaklingko,0
193,Belom ada rencana main ke jakarta but beli jaklingko is a must,0
194,Hai Transjakarta angkot reguler berhenti di bus stop jadi susah untuk naik jaklingko 27 atau 110 sangat mengganggu sekali untuk pelanggan jaklingko tolong ditindak lanjuti terima kasih,2
195,Halo Transjakarta saya beli tiket jaklingko di Halte busway Puri Beta 2 dan kelebihan 10K saya akan dihubungi melalui HP tapi sampe selarang belum dihubungi dibalikin,0
196,Yahhh fix ini mah aing harus beli jaklingko Pake brizzi ngisinya susah kalo ga punya nfc Pernah ngisi di atm 50k sama 20k udh kepotong tapi saldo tetep gamasuk gimana si ni ID,0
197,Transjakarta Jawab dong butuh ini informasinya karena mau dipake kartu barunya kalo bisa masa dari setiap admin sosmed yg ada gaada yg respon semua sih dari kemaren Kartu jaklingko khusus tj dengan skema 5000 3 jam apakah masih berlaku digunakan untuk brt dan non brt,2
198,Ya kan sudah berkali kali dijelaskan Anies apa maksudnya perubahan dan malah selama ini sudah dijalankan juga di Jakarta Reklamasi gt dihentikan Jaklingko gt diubah perbaiki JIS gt dilanjutkan Sumur resapan gt diubah Revitalisasi TIM gt ditambah KJPplus gt ditingkatkan Dan lain lain,0
199,Tapi sayang JakLingko gak bisa top up di Indomaret ya Selasa lalu harus top up lumayan jauh muternya dari tempat tap kartu,2
200,Jaklingko aja kadang error mesinnya,2
